aspect
189.93
215.64
192.77
215.39
167.40
216.58
200.20
236.03
178.71
192.56
166.54
190.57
179.52
145.80
183.33
161.33
196.34
169.99
169.72
187.08
188.67
169.01
180.96
186.53
188.53
192.03
166.82
214.00
182.20
205.37
218.66
214.88
192.62
234.46
174.16
182.19
207.40
210.02
206.57
186.78
135.00
188.90
209.54
153.02
157.62
149.25
188.13
186.25
188.90
165.32
126.90
106.55
221.78
201.77
218.24
181.70
126.84
118.75
270.00
152.78
